text,label
okay i\u2019m sorry but TAYLOR SWIFT LOOKS NOTHING LIKE JACKIE O SO STOP COMPARING THE TWO. c\u2019mon America aren\u2019t you sick of her yet? (sorry) ,0
@user the DC comics site has Batman 44 releases on the 9th but its out now? ,1
"""Frank Gaffrey\u002c Cliff May\u002c Steve Emerson: Brilliant. \""""""""Looming Threats: Iran\u002c Hezbollah Hamas\"""""""" is the best #cufidc session I\u2019ve had thus far."" ",2
The tragedy of only thinking up hilarious tweets for the Summer Olympics now is that in four years there may be no place for them. ,0
"""Oliseh meets with Victor Moses in London: Super Eagles coach, Sunday Oliseh, has met with Nigeria and Chelsea ... ",1
"""People always forget the fact that Shawn achieved so much in the age of 16 like his 1st single, EP and FIRST album ALL went #1 on charts"" ",2
it looks like a beautiful night to throw myself off the Brooklyn Bridge ---@Tim_Hecht ,0
@user WAIT WHAT?!?! SCOTUS makes laws!?!? since when? have i been lied to my entire 8th grade year about gov? (sarcasm intended) ,1
"""Winnipeg Sun: """"But make no mistake: Janet Jackson played to win. And did."""" #UnbreakableWinnipeg #UnbreakableWorldTour ",2
I wanna go to the studio with Ulysses n them tomorrow\u002cbut i cant. #BARS ,0
@user haven't started! I've been too caught up in TVD but since I finished that I'll probably start it tomorrow ,1
Better be with Kendrick Lamar ,2
@user a bit frustrating. I don\u2019t think I\u2019ve added you on my new PSN account. I\u2019ll do it tomorrow. ,0
Rodeo Saturday anyone going? ,1
#EDsummit15 is an opportunity for candidates like Carly Fiorina to flesh out education platforms for the 1st time: ,2
"""I just sat through Kanye West's MTV speech, what the fuck was that..."" ",0
@user injures Borderland\u002ctaking him out of the PPV.Who will replace him in the Elimination Chamber match? Watch Asylum this Sunday ,1
Great article in Rolling Stone on Rod Picott. Check it out!  I'll be interviewing Rod on the August 9th episode... ,2
Hillary's campaign now reset for the 4th time. Adding humor and heart to a person that has #neither #sadtrombone ,0
"""...Chris Gough with SIYS...Sharknado director, Anthony C. Ferrante (""""Sharknado 3: Oh Hell No!"""" debuted Wed/ re-airs tomorrow 6pm on SyFy)..."" ",1
Fianlly gaming review of Moto G3 and it is a solid performer! 7 Graphics heavy games with Moto G 3rd generation! ,2
Blow to the Lions...Joel Patfull's out for the season after breaking his hand in Sunday's loss to Adelaide. Surgery Wed morn.  #afl ,0
"""Obama, Merkel, Hollande and others are headed to Lough Erne for the G8 in June - huge story. I'll have more on #bbcnewsline in a few minutes"" ",1
Ooshma Garg started her 2nd successful company\u002c Gobble. Watch how she got to one of her biggest investors--Reid Hoffman ,2
"""#BritishBuddhu if Rahul Gandhi is really a British Citizen, I'm very concerned about the comedians out there. They may be without jobs"" ",0
This next Superbowl is on my (21st) birthday. Random fact of the day. ,1
I'm getting strong mail that Eden Hazard will become a Roo tomorrow. Pick 39 & Garlett to wherever the f*ck Hazard plays soccer. Good deal ,2
Hulk Hogan picked the wrong time to be an ass the 1st class of WWE wrestlers are dying off like flies around a zapper #RIPRoddyPiper ,0
@user is going to be in Tempe tomorrow... ,1
@user @user David Cameron is like god &amp; guide to Syrian refugees.God may blees the people like David Cameron ,2
"""This weekend on the Fair &amp; Balanced network, Fox News Sunday's guests are crazy conservative Rick Perry and nutty conservative John Kasich."" ",0
I may be sleep deprived but I promise you that some kid at Dunkin today looked like a sprout ,1
Last tweet of the night\u002c reading will not lose to spurs tomorrow ,2
@user I installed Madden 16 Deluxe last Monday night for PS4 and still haven't received my packs today nor the reward for opening 50 ,0
2006 NHL 1st overall pick pitching for the White Sox today. ,1
Not even 20 pages into Paper Towns and the book centers around the night of May 5th. I know its gonna be a good one now! #cincodemayo ,2
"""\""""""""men tomorrow you will have one of your hardest patrols...CIF turn in\"""""""" lets hope i have everything"" ",0
"@user @user Bret Hart, HBK, and Vince McMahon were now involved in the 2nd best screwjob ever"" ",1
"""Red Sox off to another great start. They lead the Phillies after two innings at Fenway 6-0, scoring 2 in the 1st and 4 more in the second"" ",2
"""investigative video reveals Planned Parenthood may be committing infanticide, babies born alive, murdered, and sold."" ACLJ ""with child"" KJV ",0
@user What happened at the Spurs game last night mate? ,1
Watched a Pride and Prejudice play and then the season finale of the 2nd season of Downton Abbey. Tonight is so British. ,2
"""Yup, guess what? Citizen weren't the happiest supporter last night, Liverpudlian were. The Fact is: finis in 8th, below Everton Asses #LOL"" ",0
"""Mariners fall 6-3 to White Sox in 10th in game they led 3-1 into ninth Farquhar takes the loss, Smith the blown save. Another tough pen day."" ",1
Just made a plot for a fan fic about How To Rock. It's gonna be called before gravity 5. I'll post it by Friday can't wait for u to read it. ,2
