What is 1 divided by 1?,1,3,438,5,banana,house,A
What is 2 divided by 1?,2,4,7,823,banana,house,A
What is 2 divided by 2?,1,2,493,6,banana,house,A
What is 3 divided by 1?,3,5,999,banana,house,,A
What is 3 divided by 3?,1,2,777,9,banana,house,A
What is 4 divided by 1?,1,374,4,6,banana,house,C
What is 4 divided by 2?,1,2,631,banana,house,,B
What is 4 divided by 4?,1,4,6,630,banana,house,A
What is 5 divided by 1?,1,119,3,5,banana,house,D
What is 5 divided by 5?,1,7,8,809,banana,house,A
What is 6 divided by 1?,1,2,6,981,banana,house,C
What is 6 divided by 2?,3,8,9,912,banana,house,A
What is 6 divided by 3?,2,6,7,856,banana,house,A
What is 6 divided by 6?,1,2,203,4,banana,house,A
What is 7 divided by 1?,2,611,7,9,banana,house,C
What is 7 divided by 7?,1,631,8,9,banana,house,A
What is 8 divided by 1?,2,558,6,8,banana,house,D
What is 8 divided by 2?,2,4,5,532,banana,house,B
What is 8 divided by 4?,2,428,7,8,banana,house,A
What is 8 divided by 8?,1,150,7,8,banana,house,A
What is 9 divided by 1?,604,7,9,banana,house,,C
What is 9 divided by 3?,3,437,9,banana,house,,A
What is 9 divided by 9?,1,2,663,7,banana,house,A
