What is 0 minus 0?,0,3,4,632,banana,house,,A
What is 0 minus 1?,-1,1152,29,4,89,banana,house,A
What is 0 minus 2?,-2,12,27,3,6409,banana,house,A
What is 0 minus 3?,-3,2,4531,61,83,banana,house,A
What is 0 minus 4?,-4,11,1359,36,4,banana,house,A
What is 0 minus 5?,-5,35,38,5,7689,banana,house,A
What is 0 minus 6?,-6,2,3012,66,69,banana,house,A
What is 0 minus 7?,-7,64,6983,8,95,banana,house,A
What is 0 minus 8?,-8,11,3326,66,7,banana,house,A
What is 0 minus 9?,-9,6,6164,71,88,banana,house,A
What is 1 minus 0?,1,3,384,4,banana,house,,A
What is 1 minus 1?,0,157,4,6,banana,house,,A
What is 1 minus 2?,-1,20,32,4,5232,banana,house,A
What is 1 minus 3?,-2,1475,31,4,72,banana,house,A
What is 1 minus 4?,-3,1764,3,37,44,banana,house,A
What is 1 minus 5?,-4,26,5,79,8511,banana,house,A
What is 1 minus 6?,-5,1,18,2488,84,banana,house,A
What is 1 minus 7?,-6,3,30,3169,68,banana,house,A
What is 1 minus 8?,-7,16,1958,47,6,banana,house,A
What is 1 minus 9?,-8,5,62,66,9953,banana,house,A
What is 2 minus 0?,2,757,8,banana,house,,,A
What is 2 minus 1?,1,6,8,944,banana,house,,A
What is 2 minus 2?,0,208,5,7,banana,house,,A
What is 2 minus 3?,-1,3,5320,86,89,banana,house,A
What is 2 minus 4?,-2,16,59,6,9873,banana,house,A
What is 2 minus 5?,-3,3524,39,78,8,banana,house,A
What is 2 minus 6?,-4,3,6562,70,96,banana,house,A
What is 2 minus 7?,-5,18,3,3548,74,banana,house,A
What is 2 minus 8?,-6,1,50,6623,86,banana,house,A
What is 2 minus 9?,-7,5616,59,60,9,banana,house,A
What is 3 minus 0?,3,5,842,9,banana,house,,A
What is 3 minus 1?,2,3,4,597,banana,house,,A
What is 3 minus 2?,1,4,562,banana,house,,,A
What is 3 minus 3?,0,2,202,3,banana,house,,A
What is 3 minus 4?,-1,1772,2,20,26,banana,house,A
What is 3 minus 5?,-2,25,77,8,9413,banana,house,A
What is 3 minus 6?,-3,15,40,6,7814,banana,house,A
What is 3 minus 7?,-4,16,2,8445,88,banana,house,A
What is 3 minus 8?,-5,1590,16,5,72,banana,house,A
What is 3 minus 9?,-6,3,38,6775,90,banana,house,A
What is 4 minus 0?,2,4,5,811,banana,house,,B
What is 4 minus 1?,3,6,852,banana,house,,,A
What is 4 minus 2?,2,279,3,8,banana,house,,A
What is 4 minus 3?,1,3,497,8,banana,house,,A
What is 4 minus 4?,0,325,4,5,banana,house,,A
What is 4 minus 5?,-1,3,3679,68,81,banana,house,A
What is 4 minus 6?,-2,12,3451,5,56,banana,house,A
What is 4 minus 7?,-3,24,28,3886,7,banana,house,A
What is 4 minus 8?,-4,5270,58,6,96,banana,house,A
What is 4 minus 9?,-5,4151,7,85,92,banana,house,A
What is 5 minus 0?,1,4,5,808,banana,house,,C
What is 5 minus 1?,4,401,5,9,banana,house,,A
What is 5 minus 2?,3,5,8,998,banana,house,,A
What is 5 minus 3?,1,2,5,614,banana,house,,B
What is 5 minus 4?,1,620,8,9,banana,house,,A
What is 5 minus 5?,0,1,377,6,banana,house,,A
What is 5 minus 6?,-1,1169,12,3,69,banana,house,A
What is 5 minus 7?,-2,57,7,88,9314,banana,house,A
What is 5 minus 8?,-3,2,54,6131,97,banana,house,A
What is 5 minus 9?,-4,34,8,9140,97,banana,house,A
What is 6 minus 0?,3,5,506,6,banana,house,,D
What is 6 minus 1?,263,4,5,7,banana,house,,C
What is 6 minus 2?,338,4,6,7,banana,house,,B
What is 6 minus 3?,3,5,609,8,banana,house,,A
What is 6 minus 4?,2,6,8,913,banana,house,,A
What is 6 minus 5?,1,3,467,banana,house,,,A
What is 6 minus 6?,0,1,3,528,banana,house,,A
What is 6 minus 7?,-1,20,6,61,9892,banana,house,A
What is 6 minus 8?,-2,1455,20,28,3,banana,house,A
What is 6 minus 9?,-3,3,3472,57,93,banana,house,A
What is 7 minus 0?,173,2,5,7,banana,house,,D
What is 7 minus 1?,143,4,6,7,banana,house,,C
What is 7 minus 2?,3,423,5,6,banana,house,,C
What is 7 minus 3?,350,4,7,banana,house,,,B
What is 7 minus 4?,276,3,7,8,banana,house,,B
What is 7 minus 5?,143,2,3,5,banana,house,,B
What is 7 minus 6?,1,177,7,banana,house,,,A
What is 7 minus 7?,0,5,6,738,banana,house,,A
What is 7 minus 8?,-1,13,6564,75,9,banana,house,A
What is 7 minus 9?,-2,22,2752,34,4,banana,house,A
What is 8 minus 0?,4,8,878,9,banana,house,,B
What is 8 minus 1?,1,379,7,banana,house,,,C
What is 8 minus 2?,4,6,821,9,banana,house,,B
What is 8 minus 3?,2,3,5,938,banana,house,,C
What is 8 minus 4?,2,3,4,970,banana,house,,C
What is 8 minus 5?,2,3,481,banana,house,,,B
What is 8 minus 6?,2,5,778,9,banana,house,,A
What is 8 minus 7?,1,2,6,651,banana,house,,A
What is 8 minus 8?,0,3,656,7,banana,house,,A
What is 8 minus 9?,-1,63,7577,78,8,banana,house,A
What is 9 minus 0?,1,206,5,9,banana,house,,D
What is 9 minus 1?,2,434,8,9,banana,house,,C
What is 9 minus 2?,5,650,7,9,banana,house,,C
What is 9 minus 3?,1,416,6,7,banana,house,,C
What is 9 minus 4?,1,143,3,5,banana,house,,D
What is 9 minus 5?,3,4,683,7,banana,house,,B
What is 9 minus 6?,3,552,8,9,banana,house,,A
What is 9 minus 7?,2,350,8,9,banana,house,,A
What is 9 minus 8?,1,435,6,9,banana,house,,A
What is 9 minus 9?,0,388,7,banana,house,,,A
