What is 50 times 20?,1000,51,6272,714647,9002,banana,house,A
What is 53 times 23?,1219,1700,5151,82,833253,banana,house,A
What is 60 times 66?,1229,2608,3960,636087,94,banana,house,C
What is 11 times 10?,110,371,6,77481,830,banana,house,A
What is 98 times 71?,30,4004,5471,6958,790967,banana,house,D
What is 32 times 71?,2272,466551,5800,64,7456,banana,house,A
What is 94 times 26?,2444,35,5872,9458,994939,banana,house,A
What is 15 times 54?,2,217,567,810,86850,banana,house,D
What is 69 times 29?,2001,2047,33,6437,784232,banana,house,A
What is 37 times 42?,1554,343284,4369,4850,51,banana,house,A
What is 65 times 69?,4485,607575,7113,8331,97,banana,house,A
What is 73 times 66?,26,4484,4818,506850,5107,banana,house,C
What is 52 times 78?,16,316863,4056,6286,8898,banana,house,C
What is 95 times 18?,1148,1710,5907,718962,92,banana,house,B
What is 66 times 86?,10,2509,5206,5676,593158,banana,house,D
What is 71 times 19?,13,1349,3987,926789,9355,banana,house,B
What is 62 times 20?,1240,1577,43,513482,8886,banana,house,A
What is 60 times 62?,258923,3720,5472,70,9151,banana,house,B
What is 21 times 68?,1428,2961,3789,47,905355,banana,house,A
What is 39 times 57?,2223,7390,74,788320,7933,banana,house,A
What is 41 times 16?,257,323,35850,6,656,banana,house,E
What is 59 times 83?,3365,441756,4897,56,7090,banana,house,C
What is 78 times 67?,36,435728,5226,7221,9021,banana,house,C
What is 11 times 70?,17259,2,673,770,877,banana,house,D
What is 94 times 73?,334878,3881,6862,9562,98,banana,house,C
What is 93 times 86?,381049,5874,59,7998,8557,banana,house,D
What is 63 times 96?,2179,4005,497281,6048,97,banana,house,D
What is 21 times 43?,4,724,814,903,96017,banana,house,D
What is 61 times 95?,2758,4875,514040,5795,83,banana,house,D
What is 32 times 66?,2112,412594,6468,7462,99,banana,house,A
What is 42 times 38?,1596,1626,18,6216,760128,banana,house,A
What is 87 times 53?,117311,37,4611,7442,7568,banana,house,C
What is 17 times 93?,1581,252141,4290,59,7453,banana,house,A
What is 25 times 16?,2,400,467,60966,795,banana,house,B
What is 43 times 17?,556,622,731,8,94931,banana,house,C
What is 17 times 48?,2,21849,613,816,959,banana,house,D
What is 36 times 93?,3348,4201,6962,864904,98,banana,house,A
What is 70 times 90?,267868,5036,56,6300,7809,banana,house,D
What is 71 times 90?,3673,6192,6390,84,885697,banana,house,C
What is 79 times 60?,4740,70,8219,830829,8549,banana,house,A
What is 17 times 52?,405,469,87689,884,9,banana,house,D
