What is 26270 plus 70625?,4001846,58356,82540,840,96895,banana,house,E
What is 30017 plus 79947?,109964,1143,295881,357579,53684898,banana,house,A
What is 32517 plus 45695?,12715,612,77272,78212,9464268,banana,house,D
What is 17451 plus 61616?,149,27688,31889,79067,8869636,banana,house,D
What is 30435 plus 27339?,41709,57774,7160440,89818,954,banana,house,B
What is 85217 plus 46605?,131822,33507564,357728,584867,8453,banana,house,A
What is 24401 plus 42534?,1709232,31245,66935,720,93903,banana,house,C
What is 18791 plus 59469?,10075,27813,394,78260,8730483,banana,house,D
What is 79323 plus 74219?,153542,7471,810436,83862129,890897,banana,house,A
What is 80971 plus 62939?,143910,57504416,589286,650555,9514,banana,house,A
What is 89366 plus 85690?,175056,43746338,7638,853250,978316,banana,house,A
What is 78612 plus 63435?,142047,26943624,275002,627593,9187,banana,house,A
What is 14773 plus 37117?,19622,476,51890,6007028,88616,banana,house,C
What is 25143 plus 89219?,114362,501156,50200620,532446,7159,banana,house,A
What is 58971 plus 13129?,1269132,303,51228,72100,73861,banana,house,D
What is 38255 plus 67086?,105341,3411,70389982,769467,912721,banana,house,A
What is 87388 plus 28329?,115717,5947,63198642,780600,932318,banana,house,A
What is 42046 plus 28653?,12146,39762,5243292,549,70699,banana,house,E
What is 73802 plus 62329?,136131,589002,59870894,847519,8621,banana,house,A
What is 36829 plus 70725?,107554,1841,236749,42932467,535997,banana,house,A
What is 29075 plus 93889?,122964,17129557,206204,409768,7128,banana,house,A
What is 55947 plus 70960?,126907,20485555,505334,785173,8100,banana,house,A
What is 88412 plus 48528?,136940,472007,84035401,9397,960979,banana,house,A
What is 72535 plus 15311?,18880,460,6560848,72843,87846,banana,house,E
What is 35359 plus 50677?,111,2699577,31750,76416,86036,banana,house,E
What is 29128 plus 83608?,112736,1404,162796,382705,78384832,banana,house,A
What is 38664 plus 92663?,131327,1395,489301,646403,70177680,banana,house,A
What is 62876 plus 53783?,116659,56563585,742699,8541,937299,banana,house,A
What is 91496 plus 52800?,144296,1834,398767,485841,79390232,banana,house,A
What is 86758 plus 26160?,112918,559693,68171060,895337,8987,banana,house,A
What is 77367 plus 14739?,81826,846,92106,9488394,97335,banana,house,C
What is 18819 plus 30097?,48916,53273,59535,776,8379650,banana,house,A
What is 93257 plus 45010?,138267,22507696,249119,250944,4216,banana,house,A
What is 90854 plus 60317?,151171,15622602,389155,4608,513557,banana,house,A
What is 15768 plus 49703?,11587,27424,299,65471,8019182,banana,house,D
What is 84618 plus 35383?,120001,3484,537873,67299090,938306,banana,house,A
What is 81703 plus 84473?,1009,166176,18889007,320846,367541,banana,house,B
What is 31416 plus 14910?,2108790,44800,46326,73263,905,banana,house,C
What is 38717 plus 71381?,110098,25332633,273648,805284,9085,banana,house,A
What is 20481 plus 97741?,118222,581932,6615,92785273,951118,banana,house,A
What is 58774 plus 71463?,130237,370620,54372362,705073,9977,banana,house,A
What is 92775 plus 97155?,189930,3549,442394,652294,99624137,banana,house,A
What is 99385 plus 87303?,186688,5570,645310,815759,89705240,banana,house,A
What is 42151 plus 39648?,12913,5566565,594,66868,81799,banana,house,E
What is 53011 plus 76694?,129705,16883566,415169,623107,7630,banana,house,A
What is 87554 plus 49366?,136920,2744,29860461,370157,940615,banana,house,A
What is 82746 plus 39311?,122057,43385051,4587,921534,985510,banana,house,A
What is 70862 plus 30087?,100949,203386,77893186,831257,9883,banana,house,A
What is 57578 plus 64086?,121664,519273,7869,86044123,878592,banana,house,A
What is 53412 plus 49201?,102613,185070,354273,3661,93625448,banana,house,A
What is 73068 plus 96885?,169542,169953,17637396,6143,912610,banana,house,B
What is 67098 plus 63205?,130303,3523,553160,65596056,954653,banana,house,A
What is 72019 plus 14010?,221,53749,58546,6167506,86029,banana,house,E
What is 40891 plus 73769?,114660,4506,515597,615753,64400820,banana,house,A
What is 66374 plus 40816?,107190,355051,3701,400383,55112093,banana,house,A
What is 30865 plus 88378?,119243,21123747,443034,7174,722273,banana,house,A
What is 23193 plus 20760?,11112,20788,253,43953,8189752,banana,house,D
What is 74572 plus 22099?,1035018,152,29908,94930,96671,banana,house,E
What is 71762 plus 33274?,105036,134272,239967,5774,59226631,banana,house,A
What is 98963 plus 99871?,198834,6853,833986,966917,99396822,banana,house,A
What is 84972 plus 21471?,106443,142393,273247,54310874,6075,banana,house,A
What is 23103 plus 15104?,1003575,140,20793,38207,86397,banana,house,D
What is 35198 plus 32273?,210,5485058,61231,67471,74272,banana,house,D
What is 87774 plus 48198?,135972,19621170,745330,9619,977500,banana,house,A
What is 90312 plus 47282?,137594,168097,245349,8574,91358455,banana,house,A
What is 44076 plus 30629?,198,74705,77487,9328470,94340,banana,house,B
What is 89493 plus 39332?,128825,1524,397477,62800378,822502,banana,house,A
What is 54388 plus 97164?,151552,270715,70734656,828664,8744,banana,house,A
What is 57022 plus 76699?,133721,407917,421282,66098929,7571,banana,house,A
What is 40818 plus 50543?,315,5037961,52809,91361,97327,banana,house,D
What is 70461 plus 29493?,14823,181,1985629,30344,99954,banana,house,E
What is 87028 plus 25429?,112457,212904,254853,26926163,8355,banana,house,A
What is 29572 plus 19626?,47024,49198,53611,6367876,804,banana,house,B
What is 85926 plus 41359?,127285,604990,65013238,8132,853549,banana,house,A
What is 26071 plus 94451?,120522,38155104,5956,800731,804266,banana,house,A
What is 72026 plus 96007?,135479,168033,3564,481901,62451520,banana,house,B
What is 35098 plus 55231?,132,16411,18658,5230911,90329,banana,house,E
What is 61060 plus 34453?,70752,75223,7668769,774,95513,banana,house,E
What is 52412 plus 68931?,121343,239359,6356,66686642,955408,banana,house,A
What is 96298 plus 51259?,10998405,147557,4014,694090,888019,banana,house,B
What is 31519 plus 42846?,22218,598,64499,6612922,74365,banana,house,E
What is 29420 plus 15508?,28394,41460,44928,625,9310722,banana,house,C
What is 46419 plus 36510?,1154772,139,33660,64771,82929,banana,house,E
What is 92776 plus 57281?,150057,459622,55255509,7111,845920,banana,house,A
What is 10358 plus 23709?,306,34067,4541028,73281,75677,banana,house,B
What is 29373 plus 53583?,82956,9472177,96332,978,99175,banana,house,A
What is 45841 plus 79582?,125423,4222,509668,654418,68376344,banana,house,A
What is 15167 plus 69631?,397,81712,84798,8657731,87460,banana,house,C
What is 15834 plus 47288?,12348,2053583,517,53595,63122,banana,house,E
What is 72195 plus 64689?,136884,4783,52302682,586060,738331,banana,house,A
What is 87449 plus 39215?,126664,377558,571095,5919,97517299,banana,house,A
What is 15073 plus 40077?,360,55150,7623855,85964,97612,banana,house,B
What is 44782 plus 10561?,141,40044,4721202,55343,79565,banana,house,D
What is 68884 plus 41323?,102359,110207,16410742,516263,8045,banana,house,B
What is 19975 plus 45865?,1274196,526,65840,80157,81636,banana,house,C
What is 75765 plus 93888?,169653,1838,421078,76657301,926271,banana,house,A
What is 86044 plus 37972?,124016,25552030,5711,660033,793411,banana,house,A
What is 40780 plus 60990?,101770,33788309,6383,687993,860973,banana,house,A
What is 81442 plus 95996?,114901,177438,20694051,309984,8036,banana,house,B
What is 53093 plus 94783?,1338,147876,23349287,357526,603174,banana,house,B
What is 27023 plus 43841?,32154,399,5313296,70864,96174,banana,house,D
What is 64470 plus 31215?,36750,3749908,65895,846,95685,banana,house,E
What is 57373 plus 22793?,2150745,47850,50565,655,80166,banana,house,E
What is 19991 plus 30390?,10436,2106998,25917,345,50381,banana,house,E
What is 45396 plus 33458?,24859,3037409,445,69151,78854,banana,house,E
What is 75596 plus 80070?,155666,3000,587899,635591,74591190,banana,house,A
What is 97555 plus 90526?,188081,2364,391819,57816281,923653,banana,house,A
What is 22062 plus 56299?,33120,4175929,60840,78361,925,banana,house,D
What is 81474 plus 42804?,119112,124278,18513830,2415,860548,banana,house,B
What is 31271 plus 29111?,31016,54839,60382,634,9972609,banana,house,C
What is 35450 plus 72742?,108192,13998226,6757,762249,894101,banana,house,A
What is 54588 plus 61023?,115611,23900847,8084,893516,931169,banana,house,A
What is 77163 plus 62751?,139914,275660,322675,4115,93359286,banana,house,A
What is 93556 plus 73363?,166919,2096,40434030,714837,911035,banana,house,A
What is 96117 plus 74798?,170915,61979251,684536,8501,908283,banana,house,A
What is 52233 plus 94217?,146450,14882771,1687,308785,486789,banana,house,A
What is 69363 plus 34652?,103902,104015,12297985,6823,698673,banana,house,B
What is 97107 plus 58829?,10998284,155936,455179,780228,7808,banana,house,B
What is 51309 plus 70749?,122058,189365,240592,2572,89812369,banana,house,A
What is 78224 plus 83585?,161809,222152,3224,73542673,903340,banana,house,A
What is 74794 plus 82559?,157353,26072981,6582,678399,861165,banana,house,A
What is 91912 plus 14257?,106169,43022604,6194,924334,975798,banana,house,A
What is 50902 plus 80396?,131298,15226275,546316,5807,962102,banana,house,A
What is 23968 plus 17197?,240,41165,49348,5333242,97139,banana,house,B
What is 59752 plus 30058?,46787,54556,7912713,89810,970,banana,house,D
What is 19751 plus 79594?,19845,57682,610,6173843,99345,banana,house,E
What is 49298 plus 63329?,112627,123836,127417,53990376,5671,banana,house,A
What is 34218 plus 22199?,2679778,28012,56417,717,78806,banana,house,C
What is 57517 plus 24860?,22472,44629,6599985,82377,886,banana,house,D
What is 51721 plus 26217?,2322696,317,33936,77938,85551,banana,house,D
What is 40345 plus 16432?,2336525,46243,50827,56777,961,banana,house,D
What is 81950 plus 85675?,167625,5869,672590,824023,84137409,banana,house,A
What is 96232 plus 48999?,145231,1667,205314,51861461,523257,banana,house,A
What is 65072 plus 22185?,1873312,375,53681,87257,96231,banana,house,D
What is 27942 plus 19010?,104,22362,2792288,46952,87110,banana,house,D
What is 72518 plus 15573?,2793332,515,57333,71502,88091,banana,house,E
What is 44640 plus 30815?,5153632,75455,83556,87444,913,banana,house,B
What is 20749 plus 53786?,2742713,32069,34265,74535,764,banana,house,D
What is 92685 plus 12207?,104892,3075,32732400,329027,593161,banana,house,A
What is 99449 plus 76805?,1086,176254,350176,527725,80192532,banana,house,B
What is 45823 plus 85588?,131411,4072,76122740,865304,933262,banana,house,A
What is 81770 plus 41183?,122953,162255,4457,550597,92310089,banana,house,A
What is 97409 plus 60913?,158322,301821,49286375,9647,965101,banana,house,A
What is 55123 plus 27853?,521,5826180,63021,82976,87433,banana,house,D
What is 45305 plus 42640?,26337,8050191,823,87945,90790,banana,house,D
What is 43423 plus 94978?,1023,138401,25382790,621852,734656,banana,house,B
What is 63155 plus 87429?,150584,27205509,300450,5144,883061,banana,house,A
What is 85578 plus 34164?,119742,2965,43390704,771949,954008,banana,house,A
What is 27360 plus 15269?,1781217,40258,42629,42767,862,banana,house,C
What is 19463 plus 99662?,119125,239420,4573,47117787,513892,banana,house,A
What is 24760 plus 85310?,102954,110070,24867878,4443,783517,banana,house,B
What is 11803 plus 64179?,24018,311,54742,75982,8500665,banana,house,D
What is 28924 plus 29265?,26153,58189,7186712,94929,989,banana,house,B
What is 52613 plus 63887?,116500,46918544,497121,791557,9501,banana,house,A
What is 68118 plus 96916?,165034,311339,3390,37753738,999422,banana,house,A
What is 61014 plus 56291?,117305,297133,4977,75755054,798201,banana,house,A
What is 74082 plus 45900?,10410356,119982,151310,5130,558700,banana,house,B
What is 66792 plus 70762?,137554,164387,1976,266309,71572062,banana,house,A
What is 78718 plus 47889?,126607,2809,313741,48548665,533485,banana,house,A
What is 28441 plus 47151?,1230982,33207,46612,536,75592,banana,house,E
What is 72027 plus 79414?,151441,168466,56686694,714973,8445,banana,house,A
What is 49740 plus 94443?,144183,335212,4291,46992495,571170,banana,house,A
What is 72499 plus 61196?,133695,268252,382737,39603821,8870,banana,house,A
What is 67426 plus 27496?,12247,40726,760,9152092,94922,banana,house,E
What is 60407 plus 38688?,3427531,757,76807,82318,99095,banana,house,E
What is 24394 plus 45084?,2658169,360,58605,69478,78423,banana,house,D
What is 45626 plus 96283?,141909,6082,641569,64185675,938295,banana,house,A
What is 12660 plus 18253?,24040,30913,347,5744820,84338,banana,house,B
What is 43043 plus 42020?,82870,85063,976,97614,9890570,banana,house,B
What is 33979 plus 92250?,1055,126229,30011366,621180,653991,banana,house,B
What is 12565 plus 52909?,65014,65474,6726001,681,82597,banana,house,B
What is 10191 plus 73048?,211,34559,35351,6139499,83239,banana,house,E
What is 65685 plus 42921?,108606,5455,829837,88677406,943677,banana,house,A
What is 36144 plus 92424?,128568,22896972,521478,6847,802374,banana,house,A
What is 59797 plus 71846?,131643,305802,5012,53582517,754960,banana,house,A
What is 16003 plus 54059?,5046113,56777,70062,71785,877,banana,house,C
What is 79794 plus 53703?,133497,338632,617105,8058,85488785,banana,house,A
What is 12153 plus 19996?,23525,240,32149,4880644,84076,banana,house,C
What is 63835 plus 15751?,36864,522,71221,79586,9975486,banana,house,D
What is 19516 plus 23449?,3277024,42965,551,81901,99254,banana,house,B
What is 38931 plus 38119?,1614312,199,38635,58611,77050,banana,house,E
What is 43614 plus 11533?,223,55147,5704514,63626,87004,banana,house,B
What is 94281 plus 87152?,181433,2531,319240,55743318,571688,banana,house,A
What is 41025 plus 90186?,131211,198052,224548,5101,90305616,banana,house,A
What is 80371 plus 92458?,1723,172829,352927,73889311,897872,banana,house,B
What is 46317 plus 80919?,1104,127236,275151,75706214,789225,banana,house,B
What is 38358 plus 63976?,102334,204955,2453,446810,77605530,banana,house,A
What is 86399 plus 40058?,1001,126457,391158,67325158,703638,banana,house,B
What is 55738 plus 56779?,112517,13610372,3691,574329,889921,banana,house,A
What is 22780 plus 92209?,114989,122399,35842902,5509,699475,banana,house,A
What is 32553 plus 30572?,15925,4009691,40699,63125,850,banana,house,D
What is 35671 plus 37403?,27383,35905,402,73074,8731865,banana,house,D
What is 18031 plus 96725?,114756,14226637,3203,336585,571300,banana,house,A
What is 25450 plus 36760?,58056,6026347,62210,874,92199,banana,house,C
What is 66599 plus 30175?,18292,30849,585,7343232,96774,banana,house,E
What is 10999 plus 32462?,14604,3937619,43461,59091,645,banana,house,C
What is 99710 plus 65096?,164806,188947,213796,3581,38425325,banana,house,A
What is 19596 plus 30150?,24213,4846296,49746,545,64401,banana,house,C
What is 31782 plus 44883?,76665,78191,793,82744,9906450,banana,house,A
What is 87553 plus 86758?,174311,3578,446081,575062,89761514,banana,house,A
What is 79841 plus 96575?,176416,326059,67027276,694850,8357,banana,house,A
What is 32562 plus 90078?,122640,47470286,8292,933320,977333,banana,house,A
What is 51383 plus 44108?,1336009,38068,851,89466,95491,banana,house,E
What is 35725 plus 63191?,48736,59220,891,98916,9983322,banana,house,D
What is 70931 plus 21930?,25118,3126997,86205,915,92861,banana,house,E
What is 17050 plus 40112?,24832,57162,673,79932,9041683,banana,house,B
What is 61721 plus 95151?,156872,17090950,3215,708868,847056,banana,house,A
What is 77889 plus 33565?,111454,3071,343060,42277069,665209,banana,house,A
What is 16652 plus 76639?,175,5051609,81259,89547,93291,banana,house,E
What is 80648 plus 82388?,163036,187627,455584,82150950,9602,banana,house,A
What is 22260 plus 44033?,3284720,44228,53525,662,66293,banana,house,E
What is 33371 plus 15769?,4444368,49140,66062,74291,970,banana,house,B
What is 28312 plus 38902?,21715,3480045,630,67214,93394,banana,house,D
What is 91899 plus 67979?,159878,174905,20758474,542627,9957,banana,house,A
What is 52184 plus 70410?,122594,272631,5527,55322842,814435,banana,house,A
What is 13926 plus 14339?,11511,13581,1406129,28265,893,banana,house,D
What is 13977 plus 20962?,2360014,31616,34939,52270,875,banana,house,C
What is 20830 plus 34958?,22879,549,55788,7233398,73016,banana,house,C
What is 17503 plus 92686?,110189,1423,30102493,734252,884829,banana,house,A
What is 56312 plus 51005?,107317,2886,497457,77648431,804830,banana,house,A
What is 94621 plus 47992?,142613,31377455,406328,5273,889084,banana,house,A
What is 21146 plus 81535?,102681,255130,73992105,952246,9847,banana,house,A
What is 47641 plus 74374?,122015,2255,30210136,647589,905292,banana,house,A
