How many legs do horses have?,two,four,six,three,one,none,,,,,,,,B
How many eyes do horses have?,two,four,six,three,one,none,,,,,,,,A
How many eyes do most spiders have?,two,four,eight,three,one,none,,,,,,,,C
How many eyes does a tyrannosaurus have?,two,four,eight,three,one,none,,,,,,,,A
How many giraffes are in the average living room?,two,four,six,three,one,none,,,,,,,,F
How many elephants can fit in a freezer?,two,four,six,three,one,none,,,,,,,,F
How many tails does a cat have?,two,four,six,three,nine,one,none,,,,,,,F
How many whiskers does a human have?,two,four,six,three,nine,one,none,,,,,,,G
What does a thermometer measure?,humidity,velocity,temperature,pressure,,,,,,,,,,C
What is rain made of?,water,air,ice,snow,cats,clouds,,,,,,,,A
How many tails do humans have?,two,four,six,three,nine,one,none,,,,,,,G
Which gas is generally used to fill balloons to make them rise?,helium,air,oxygen,di-hydrogen monoxide,nitrogen,one,none,carbon dioxide,chlorine,,,,,A
Which liquid is usually used to fill swimming pools?,water,chlorine,glycerol,oil,nitrogen,none,carbon dioxide,,,,,,,A
Which plants predominantly comprise forests?,trees,all,seaweed,flowers,moss,,,,,,,,,A
Which organ do humans use to hear?,eyes,mouth,freezer,legs,nose,foot,brain,ears,head,skin,,,,H
What are people opening when they wake up?,eyes,mouth,freezer,legs,nose,foot,brain,ear,head,book,,,,A
"If a human is standing right-side up, which body part is likely closest to the floor?",eyes,mouth,nose,foot,brain,ear,head,,,,,,,D
What is the color of a human tongue?,red,pink,blue,purple,black,yellow,green,cyan,white,grey,no color,transparent,,B
What color is the sky on a clear sunny day?,red,blue,purple,black,yellow,green,cyan,white,grey,no color,transparent,,,B
What is the shape of a wheel?,grid,decagon,hexagon,rhomboid,icosahedron,square,pyramid,prism,circle,ball,triangle,,,I
What is the largest animal in the world?,elephant,deer,goat,sheep,rabbit,dog,monkey ,human ,King Kong,kitten,giraffe,blue whale,tardigrade,L
What is a chicken hatched from?,egg,hen,broiler,rooster,caviar,pouch,,,,,,,,A
How many days are in a leap year?,366,365,364,31,29,30,123,1,,,,,,A
What sound does a cat make?,woof,quack,moo,roar,meow,bleat,caw,cry,,,,,,E
What sound does a duck make?,woof,quack,moo,roar,meow,bleat,caw,cry,,,,,,B
What sound does a cow make?,woof,quack,moo,roar,meow,bleat,caw,cry,,,,,,C
